PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
1150007,TWIN PINES HEALTH CARE CENTER,Chester,Ground water,120,3,0.933485893,34.99577455,Private,2,Rural,28,0,28
1150011,MALVERN COURTS MHP,Chester,Ground water,250,6,2.299775069,29.96094258,Private,108,Urban,4,0,4
1150013,IMPERIAL MOBILE HOME PARK,Chester,Ground water,151,9,4.412079402,28.42146219,Private,51,Urban,41,14,55
1150015,TAYLORS MOBILE HOME PARK,Chester,Ground water,50,6,3.498074671,31.21075879,Private,47,Urban,182,0,182
1150017,MAPLEWOOD MOBILE HOME PARK,Chester,Ground water,70,6,4.597173511,29.25708011,Private,31,Urban,12,0,12
1150019,LONDONDERRY COURT MHP,Chester,Surface water purchased,160,8,3.137439323,11.86581458,Private,55,Rural,57,5,62
1150020,MT IDY MOBILE HOME PARK,Chester,Ground water,80,5,1.043245437,3.249204052,Private,40,Urban,2,12,14
1150021,ASHWOOD APARTMENTS,Chester,Ground water,75,2,5.173493607,6.330694136,Private,75,Urban,3,0,3
1150026,DOWNINGTOWN WATER AUTHORITY,Chester,Surface water,9900,7,4.988117444,30.74549407,Local government,3500,Urban,43,1,44
1150029,ST MARY OF PROVIDENCE CENTER,Chester,Ground water,75,7,3.051245747,2.594153959,Private,11,Rural,136,3,139
1150030,LOAGS CORNER MOBILE HOME PARK,Chester,Ground water,130,4,2.301830344,2.892689579,Private,49,Rural,2,0,2
1150035,AQUA PA UWCHLAN,Chester,Surface water purchased,35518,25,2.067234846,18.09788639,Private,16600,Urban,0,0,0
1150037,DEVEREUX FOUNDATION BRANDYWINE,Chester,Ground water,300,4,1.400715606,8.045460052,Private,19,Rural,8,1,9
1150039,CAMPHILL SPEC SCH BEAVER RUN,Chester,Ground water,140,4,1.158510931,14.03808055,Private,20,Rural,9,0,9
1150044,TEL HAI RETIREMENT COMMUNITY,Chester,Ground water,930,6,3.990023361,9.159359082,Private,1,Rural,8,1,9
1150045,BRANDYWINE TERRACE MHP,Chester,Ground water,90,3,4.376529076,2.532917975,Private,41,Urban,36,0,36
1150046,UMH GREGORY COURTS MHP,Chester,Ground water,67,4,4.796507798,4.681961866,Private,37,Urban,3,0,3
1150047,KEYSTONE COURT,Chester,Ground water,116,3,4.711441211,4.077186652,Private,45,Urban,12,1,13
1150049,HIDEAWAY MOBILE HOME PARK,Chester,Ground water,95,4,4.543976685,21.54535626,Private,39,Urban,1,0,1
1150051,INDIAN RUN VILLAGE MHP,Chester,Ground water,550,4,6.693031469,11.4166131,Private,243,Urban,23,0,23
1150052,UMH VALLEY VIEW HONEYBROOK MHP,Chester,Ground water,429,13,4.811667216,4.517206521,Private,136,Urban,15,6,21
1150064,SHADYSIDE MHP,Chester,Ground water,55,3,6.096603743,35.7182007,Private,16,Urban,26,1,27
1150065,ECHO VALLEY MHP,Chester,Ground water,60,4,7.197041711,40.07070405,Private,20,Urban,106,5,111
1150066,OXFORD BOROUGH,Chester,Surface water purchased,5280,10,6.675032023,33.40530072,Local government,1597,Urban,36,1,37
1150069,COVENTRY TERRACE,Chester,Ground water,250,8,0.463925381,11.14993154,Private,127,Urban,6,4,10
1150070,HIGHLAND COURT,Chester,Ground water,54,4,5.58165092,13.42230747,Private,26,Rural,12,1,13
1150077,PHOENIXVILLE WATER DEPT,Chester,Surface water,16599,4,6.970975531,20.41821708,Local government,5776,Urban,4,1,5
1150078,GARDENS AT POTTSTOWN,Chester,Ground water,70,4,4.097703071,3.253272976,Private,1,Rural,14,0,14
1150081,WARWICK MOBILE HOME PARK,Chester,Ground water,40,7,1.95542855,2.086630474,Private,30,Rural,27,0,27
1150082,LINCOLN CREST MHP,Chester,Ground water,242,9,5.41872257,22.07036215,Private,145,Urban,6,4,10
1150083,CREEKVIEW MHP,Chester,Ground water,200,3,3.86391212,9.015000678,Private,79,Urban,16,1,17
1150089,AQUA PA SPRING RUN,Chester,Surface water purchased,7303,24,2.953267068,11.84914011,Private,1400,Rural,0,1,1
1150094,APPLEVILLE MOBILE HOME PARK,Chester,Ground water,461,16,4.526847779,10.12862155,Private,230,Urban,0,0,0
1150098,AQUA PA WEST CHESTER,Chester,Surface water,33918,16,3.614995403,11.49267443,Private,9715,Urban,0,0,0
1150102,UMH OXFORD VILLAGE MHP,Chester,Ground water,480,5,4.997564609,2.763681249,Private,224,Urban,4,1,5
1150105,WEST GROVE BOROUGH,Chester,Ground water,2873,11,1.901486076,44.38920203,Local government,884,Urban,66,0,66
1150106,PA AMERICAN COATESVILLE,Chester,Surface water,30299,15,4.658094541,25.44137389,Local government,11004,Urban,1,1,2
1150108,KENNETT SQUARE MUN WATER WORKS,Chester,Surface water purchased,6328,8,4.178467265,49.72344225,Local government,1800,Urban,15,0,15
1150109,BOROUGH OF ATGLEN,Chester,Surface water purchased,1406,11,3.051841252,11.16338247,Local government,406,Urban,59,1,60
1150126,AQUA PA FRANKLIN,Chester,Ground water,265,3,2.35347963,4.148882999,Private,88,Urban,0,0,0
1150131,LONGWOOD GARDENS,Chester,Surface water purchased,250,6,1.79345031,13.56343895,Private,54,Urban,5,0,5
1150137,AQUA PA FRIENDSHIP,Chester,Surface water purchased,7675,26,4.484977807,10.61130494,Private,1377,Urban,0,0,0
1150144,MARTINS COMMUNITY LP MHP,Chester,Ground water,180,4,4.945601226,22.40054453,Private,67,Rural,8,0,8
1150145,SHADY GROVE MOBILE HOME PARK,Chester,Ground water,129,6,4.484504318,8.655613472,Private,44,Rural,7,0,7
1150150,CALN MOBILE HOME PARK,Chester,Ground water,30,3,4.415536699,37.22955289,Private,18,Urban,9,1,10
1150155,AQUA PA BEVERSREDE,Chester,Surface water purchased,2300,6,2.375313402,21.10776104,Private,359,Rural,0,0,0
1150157,WARWICK WATER WORKS,Chester,Ground water,98,6,1.783460272,2.566116857,Private,42,Rural,3,1,4
1150164,WOODBROOKE WATER AUTHORITY,Chester,Ground water,87,3,4.223107842,7.050406629,Private,34,Urban,45,0,45
1150165,LONDON GROVE TWP MUN AUTH,Chester,Surface water purchased,3706,6,1.222546288,36.84603322,Local government,938,Rural,11,0,11
1150166,PA AMERICAN ROYERSFORD,Chester,Surface water,48511,19,2.200390432,13.58100211,Private,11708,Urban,1,1,2
1150168,CAMPHILL VILLAGE KIMBERTON HLS,Chester,Ground water,100,3,2.397321155,9.757109693,Private,11,Rural,18,1,19
1150177,NOTTINGHAM MANOR M H  COURT,Chester,Ground water,513,23,3.758142031,21.29314007,Private,192,Urban,177,0,177
1150183,INDEPENDENCE PARK,Chester,Ground water,91,3,2.552362827,3.657854029,Private,35,Rural,38,0,38
1150185,VALLEY SPRINGS WATER CO,Chester,Surface water purchased,2500,7,4.298973572,35.36160117,Private,392,Urban,60,7,67
1150186,COATESVILLE VETERANS ADM HOSP,Chester,Surface water purchased,2000,4,5.286176486,40.42309178,Federal government,25,Urban,28,0,28
1150189,PERRY PHILLIPS MOBILE HOMES,Chester,Ground water,60,4,4.998937083,17.99651032,Private,21,Rural,27,0,27
1150190,RIVEREDGE RENTALS,Chester,Ground water,80,3,3.694164567,7.782267408,Private,66,Urban,132,0,132
1150191,ELVERSON WATER COMPANY,Chester,Ground water,1641,9,2.034709665,4.518344522,Private,423,Rural,83,0,83
1150195,AQUA PA HONEYBROOK,Chester,Ground water,1600,7,3.857218562,2.595268563,Private,416,Rural,0,0,0
1150197,VALLEY CROSSING,Chester,Surface water purchased,900,2,3.992306984,37.37306399,Local government,302,Urban,21,0,21
1150200,RIDGEVIEW MHP,Chester,Ground water,55,5,3.91068654,12.69628933,Private,21,Rural,34,1,35
1150202,COCHRANVILLE MHP,Chester,Ground water,99,6,3.163094023,0,Private,33,Rural,9,1,10
1150204,STONE BARN RENTALS,Chester,Ground water,120,5,3.555080908,13.91421198,Private,36,Rural,30,0,30
1150205,AQUA PA WILLOWDALE,Chester,Surface water purchased,1300,6,1.763393527,7.9723004,Local government,779,Urban,2,0,2
1150206,PA AMERICAN PHOENIXVILLE,Chester,Surface water purchased,2221,3,2.1178822,8.009553189,Private,897,Urban,0,0,0
1150208,LAKE ROAD MOBILE HOME PARK,Chester,Ground water,40,3,0.527733935,46.21164635,Private,10,Urban,74,0,74
1150209,WETHERILL ESTATES,Chester,Ground water,250,3,1.792168928,17.23868951,Private,75,Rural,6,0,6
1150210,ST STEPHENS GREEN,Chester,Ground water,130,4,1.624816093,13.50781077,Local government,34,Urban,22,0,22
1150213,NOTTINGHAM TOWERS APARTMENTS,Chester,Ground water,180,4,6.665056967,18.91801236,Private,55,Rural,33,1,34
1150214,PHILLIPS MUSHROOM FARMS,Chester,Ground water,175,6,2.400377268,30.18389833,Private,6,Urban,95,0,95
1150215,RIDGLEA,Chester,Ground water,900,4,4.79988576,3.73148991,Private,303,Urban,50,0,50
1150216,SPRING RUN ESTATES WTP,Chester,Ground water,450,5,5.297562043,1.890428213,Private,238,Urban,9,0,9
1150220,NORTH COVENTRY WATER SYSTEM,Chester,Surface water purchased,2907,2,2.538742997,8.83158995,Local government,752,Urban,3,0,3
1150223,CAMP HILL SOLTANE,Chester,Ground water,152,5,1.301071403,16.65634321,Public/Private,20,Rural,13,0,13
1150224,DOE RUN MOBILE HOME PARK,Chester,Ground water,29,3,0.832608081,11.70590115,Private,16,Rural,59,0,59
1150226,CAMPHILL SPEC SCH BEAVER FARM,Chester,Ground water,45,3,3.053060406,9.117919084,Public/Private,4,Rural,63,0,63
1150834,WESTTOWN SCHOOL,Chester,Surface water purchased,900,8,1.421253922,12.95591383,Private,28,Urban,45,2,47
1230004,CHESTER WATER AUTHORITY,Delaware,Surface water,138453,4,4.059921527,21.47255525,Local government,36677,Urban,0,0,0
1230006,BRINTON MANOR,Delaware,Ground water,196,5,1.997361143,25.32236324,Private,1,Urban,7,3,10
1230012,SUEZ WATER PA BETHEL,Delaware,Surface water purchased,7809,6,2.299122367,7.369641121,Private,2408,Urban,1,0,1
1230026,SOUTHPOINT HOMEOWNERS ASSOC,Delaware,Ground water,40,5,2.809742708,21.17877783,Private,21,Rural,0,0,0
1230886,PATHWAYS,Delaware,Ground water,53,6,3.727287185,9.741926922,Private,2,Urban,24,1,25
1230908,JOSEPH SILVESTRI AND SON INC,Delaware,Ground water,85,5,1.703128398,5.571133704,Private,3,Urban,66,2,68
1460005,WINDHAVEN MHP,Montgomery,Ground water,112,7,3.406505559,9.765141484,Private,79,Urban,101,0,101
1460006,PLEASANT RUN MHP,Montgomery,Ground water,45,3,0.792334052,0.635768182,Private,19,Rural,44,0,44
1460007,AQUA PA SUPERIOR IVY RIDGE,Montgomery,Ground water,150,4,1.785730102,5.645882739,Private,45,Urban,39,0,39
1460008,PARKHOUSE,Montgomery,Ground water,1200,9,2.609648206,7.977768053,Public/Private,7,Urban,27,0,27
1460020,AMBLER BORO WATER DEPT,Montgomery,Surface water,20000,33,3.144145547,17.80636798,Local government,6609,Urban,33,0,33
1460022,COLLEGEVILLE TRAPPE JOINT PWD,Montgomery,Ground water,8470,30,3.647045078,19.89896836,Local government,2807,Urban,4,1,5
1460023,E GREENVILLE BORO WATER DEPT,Montgomery,Surface water,3100,8,2.589596695,7.769177154,Local government,1068,Urban,7,0,7
1460027,GREEN HILL MHP,Montgomery,Ground water,323,5,1.581175419,2.367993644,Private,152,Urban,4,0,4
1460028,AQUA PA HATBORO,Montgomery,Surface water purchased,12901,31,3.370933256,13.35375283,Private,4406,Urban,2,0,2
1460030,OAK GROVE PARK MHP,Montgomery,Ground water,130,6,2.571019558,27.97669131,Private,130,Urban,1,0,1
1460033,HORSHAM WATER&SEWER AUTHORITY,Montgomery,Surface water purchased,25000,53,2.835450016,14.83970107,Local government,7600,Urban,0,0,0
1460034,NORTH PENN WATER AUTHORITY,Montgomery,Surface water purchased,82822,151,2.843090644,18.56154933,Local government,29779,Urban,0,0,0
1460036,UPPER HANOVER WATER AUTHORITY,Montgomery,Ground water,4600,18,1.839463265,2.685954577,Local government,2131,Rural,17,3,20
1460037,POTTSTOWN BOROUGH WATER AUTH,Montgomery,Surface water,36000,3,6.349556104,22.96623906,Local government,12000,Urban,3,0,3
1460038,SHANERS MOBILE HOME PARK,Montgomery,Ground water,220,5,3.035730248,10.11694486,Private,120,Urban,4,0,4
1460039,RED HILL WATER AUTHORITY,Montgomery,Ground water,2500,13,2.568740701,4.900618178,Local government,1300,Urban,16,3,19
1460042,SCHWENKSVILLE BOROUGH AUTH,Montgomery,Ground water,5200,19,3.071649744,5.785056073,Local government,1780,Urban,25,1,26
1460046,PA AMERICAN NORRISTOWN,Montgomery,Surface water,101153,9,4.104432519,27.27796302,Private,31670,Urban,0,0,0
1460048,NORTH WALES WATER AUTHORITY,Montgomery,Surface water,72496,58,3.954434467,20.93515005,Local government,21419,Urban,4,0,4
1460050,TELFORD BOROUGH AUTHORITY,Montgomery,Surface water purchased,7700,27,1.851215817,10.22634666,Local government,2979,Urban,0,0,0
1460055,AUDUBON WATER COMPANY,Montgomery,Surface water purchased,9850,45,2.180249345,22.45370369,Private,2759,Urban,39,2,41
1460056,ST GABRIELS HALL,Montgomery,Ground water,400,4,5.220391658,59.25361834,Public/Private,4,Urban,12,0,12
1460059,S C I GRATERFORD,Montgomery,Surface water purchased,3000,23,99.25255806,72.28328767,State government,13,Urban,7,0,7
1460062,AVANTE APARTMENTS,Montgomery,Ground water,315,4,1.890235637,5.98011327,Private,105,Urban,38,0,38
1460064,YERKES WATER ASSOCIATION,Montgomery,Ground water,165,6,1.738442751,17.93748697,Private,59,Urban,12,1,13
1460068,AQUA PA PERKIOMEN WOODS,Montgomery,Ground water,1100,3,1.601617365,15.94999744,Private,462,Urban,0,0,0
1460069,AQUA PA PERKIOMEN TOWNSHIP,Montgomery,Ground water,3600,19,4.02794273,17.89123453,Private,1406,Urban,0,0,0
1460070,COLLEGEVILLE PARK WATER ASSOC,Montgomery,Ground water,75,4,0.631160918,23.07132611,Private,20,Rural,1,0,1
1460071,SPRUCE COURT APARTMENTS,Montgomery,Ground water,100,11,5.393708767,12.03404876,Private,72,Urban,1,0,1
1460073,AQUA PA MAIN SYSTEM,Montgomery,Surface water,747460,109,4.774709965,15.65765894,Private,337907,Urban,51,1,52
1460075,FREDERICK LIVING,Montgomery,Ground water,640,6,2.142758055,6.716696721,Private,10,Urban,11,0,11
1460077,VILLAGE OF NESHAMINY FALLS,Montgomery,Surface water purchased,1300,4,4.116423775,31.83490696,Private,766,Urban,10,0,10
1460085,AQUA PA SUPERIOR MAIN SYSTEM,Montgomery,Ground water,7500,21,1.756438569,7.044797217,Private,3400,Urban,16,0,16
1460086,SAINT LUKE KNOLLS,Montgomery,Ground water,50,3,2.185584442,4.981428853,Private,40,Urban,3,0,3
1460087,PERKIOMEN CROSSING,Montgomery,Ground water,508,4,2.960434333,4.661694217,Local government,330,Urban,4,1,5
1460092,AQUA PA SUPERIOR CENTER POINT,Montgomery,Surface water purchased,500,4,2.53211751,24.55681408,Private,177,Urban,48,0,48
1510001,PHILADELPHIA WATER DEPARTMENT,Philadelphia,Surface water,1600000,9,6.38542938,67.26942839,Local government,475190,Urban,7,0,7
2080002,DEMORGAN ACRES MHP,Bradford,Ground water,90,5,4.733923042,3.02715937,Private,38,Rural,88,1,89
2080003,CANTON BOROUGH AUTHORITY,Bradford,Ground water,2050,6,5.142772455,0.923628543,Local government,818,Rural,53,0,53
2080004,KERRYVIEW MHP,Bradford,Ground water,80,3,3.366776314,3.888664629,Private,29,Rural,109,0,109
2080007,LERAYSVILLE WATER COMPANY,Bradford,Ground water,360,5,3.079446071,2.288577702,Local government,111,Rural,64,0,64
2080009,VILLAGE AT WHISPERING PINES,Bradford,Ground water,93,3,3.849259638,5.124026278,Private,49,Rural,38,0,38
2080010,NEW ALBANY WATER FUND,Bradford,Ground water,336,8,2.734677335,7.279486101,Local government,148,Rural,17,0,17
2080011,SEVEN HILLS MHP,Bradford,Ground water,65,3,1.159259913,1.674805718,Private,37,Rural,140,0,140
2080012,HARTS MHP,Bradford,Ground water,65,3,0.984328868,1.731680117,Private,30,Rural,43,0,43
2080013,AMERICAN MODERN HOMES,Bradford,Ground water,100,3,1.026364784,1.942064292,Private,58,Rural,37,2,39
2080015,WOODSIDE TERRACE MHP,Bradford,Ground water,84,4,2.088081654,8.081394199,Private,50,Rural,6,1,7
2080017,ECHO BEACH MHP,Bradford,Ground water,43,6,1.908544125,3.252439342,Private,18,Rural,107,0,107
2080019,TOWN AND COUNTRY ESTATES,Bradford,Ground water,200,4,3.511935143,4.981661753,Private,94,Rural,29,0,29
2080020,TROY WATER DEPTARTMENT,Bradford,Ground water,1362,7,3.407966989,5.952628836,Local government,618,Rural,11,2,13
2080023,RIDGEBURY MOBILE MANOR,Bradford,Ground water,38,4,3.729154806,3.457543509,Private,21,Rural,11,2,13
2080024,HILLSIDE ACRES MHP,Bradford,Ground water,45,4,3.552382754,3.251273356,Private,35,Rural,109,12,121
2080025,MOBILE ACRES MHP,Bradford,Groundwater under influence of surface water,100,4,4.029808503,4.738537834,Private,48,Rural,82,0,82
2080027,JACKSON MHP,Bradford,Ground water,300,4,1.849756838,3.045174647,Private,90,Rural,56,0,56
2080028,AQUA PA SUSQUEHANNA DIVISION,Bradford,Ground water,15569,8,5.874745672,2.723961952,Private,4301,Urban,23,5,28
2080029,TOWANDA MUNICIPAL AUTHORITY,Bradford,Ground water,5000,8,4.824679281,7.198855434,Local government,1968,Urban,62,0,62
2080030,WYSOX TWP MUNICIPAL AUTHORITY,Bradford,Ground water purchased,1763,3,2.407132265,5.136354301,Local government,1,Rural,9,0,9
2080032,ULSTER MUNICIPAL AUTHORITY,Bradford,Groundwater under influence of surface water,500,6,2.007276388,7.085915035,Local government,180,Rural,44,2,46
2080033,BRADFORD COUNTY MANOR,Bradford,Ground water,700,5,2.064983217,8.135884591,Local government,3,Rural,12,0,12
2080034,WYALUSING MUNICIPAL AUTHORITY,Bradford,Ground water,700,9,2.65285166,3.54759438,Local government,300,Rural,90,0,90
2080807,WYALUSING VALLEY RTRMNT & PCH,Bradford,Ground water,59,3,2.701555264,4.571609096,Private,1,Rural,5,0,5
2080814,SHERWOOD RETIREMENT AND PCH,Bradford,Ground water,32,3,5.2227123,2.235985827,Private,1,Rural,3,0,3
