PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Population_Within,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Yes_HealthBased,All_Violations
1090128,DTMA MAIN SYSTEM,Bucks,Surface water purchased,8655,52,17106,2.069449316,7.389220157,2.811878873,2.192213259,Local government,2029,Urban,0,7
1090129,BCWSA SOLEBURY,Bucks,Ground water,2100,7,109,0.917431193,8.256880734,0.917431193,1.834862385,Local government,474,Urban,0,5
1090130,BCWSA NEW HOPE,Bucks,Surface water,3017,14,271,3.6900369,7.749077491,0,2.58302583,Local government,3017,Urban,0,3
1090131,RICHLAND TWP WATER AUTHORITY,Bucks,Ground water,6800,18,13803,3.368832862,11.99739187,1.71701804,5.933492719,Local government,1922,Rural,0,84
1090133,VILLAGE OF BUCKINGHAM SPRINGS,Bucks,Ground water,1295,4,103,1.941747573,5.825242718,0.970873786,0,Private,646,Urban,0,23
1090135,SCENIC VIEW APARTMENTS,Bucks,Ground water,150,5,20,5,5,0,5,Private,50,Rural,0,3
1090137,BUCKINGHAM TWP COLD SPRING,Bucks,Ground water,4760,8,3833,4.513435951,12.9663449,0.756587529,3.026350117,Local government,1783,Urban,0,1
1090138,PLUMSTEAD TWP DURHAM RIDGE,Bucks,Ground water,714,7,157,1.910828025,10.82802548,1.910828025,4.458598726,Local government,204,Rural,0,3
1090140,HULMEVILLE MUNICIPAL AUTHORITY,Bucks,Surface water purchased,750,3,1161,2.067183463,12.48923342,4.220499569,2.928509905,Local government,283,Urban,0,4
1090141,NORTH PENN WATER AUTH E ROCKH,Bucks,Ground water purchased,588,8,192,4.6875,5.729166667,0.520833333,4.6875,Local government,196,Urban,0,0
1090144,PLUMSTEAD NORTHERN SYSTEM,Bucks,Ground water,2605,12,790,2.405063291,5.696202532,0.253164557,1.898734177,Local government,1002,Urban,0,27
1090145,BUCKINGHAM TWP BUCK VILLAGE,Bucks,Ground water,1050,4,127,3.937007874,11.81102362,0.787401575,3.149606299,Local government,125,Urban,0,5
1090147,AQUA PA PEDDLERS VIEW,Bucks,Ground water,600,4,134,0.746268657,8.955223881,0.746268657,1.492537313,Private,214,Urban,0,0
1090148,PLUMSTEAD TWP PATRIOTS RIDGE,Bucks,Ground water purchased,1704,2,254,2.362204724,6.299212598,0.787401575,0.393700787,Local government,600,Urban,0,2
1090150,MEADOW FARMS APTS,Bucks,Ground water,90,6,1,0,0,0,0,Private,39,Urban,0,3
1090153,PEDDLERS VILLAGE,Bucks,Ground water,960,4,121,3.305785124,5.785123967,0,1.652892562,Private,76,Urban,0,6
1090157,PLUMSTEAD TWP SUMMER HILL MEAD,Bucks,Ground water,1284,10,155,2.580645161,5.161290323,0,3.225806452,Local government,367,Urban,0,3
1090159,BUCKINGHAM TWP FURLONG,Bucks,Ground water,3100,18,372,2.150537634,5.913978495,0.537634409,0.268817204,Local government,169,Urban,0,4
1090160,BCWSA FOX RUN PRESERVE,Bucks,Ground water,220,3,134,0.746268657,8.208955224,0.746268657,2.23880597,Local government,108,Rural,0,3
1090163,PENNLAND FARMS,Bucks,Ground water,452,4,42,2.380952381,7.142857143,0,2.380952381,Local government,30,Urban,0,35
1090164,MILL CREEK RIDGE,Bucks,Ground water,99,4,73,2.739726027,5.479452055,0,0,Local government,73,Rural,0,21
1150004,AVONWHEEL ESTATE MHP,Chester,Ground water,300,4,20,0,40,5,30,Private,65,Urban,1,13
1150005,BOROUGH OF AVONDALE,Chester,Ground water,1108,4,282,1.418439716,37.94326241,3.546099291,31.91489362,Local government,329,Urban,0,4
1150007,TWIN PINES HEALTH CARE CENTER,Chester,Ground water,120,3,6,0,33.33333333,0,33.33333333,Private,2,Rural,0,28
1150011,MALVERN COURTS MHP,Chester,Ground water,250,6,14,0,28.57142857,0,7.142857143,Private,108,Urban,0,4
1150013,IMPERIAL MOBILE HOME PARK,Chester,Ground water,151,9,9,0,11.11111111,0,0,Private,51,Urban,14,55
1150015,TAYLORS MOBILE HOME PARK,Chester,Ground water,50,6,47,4.255319149,36.17021277,21.27659574,6.382978723,Private,47,Urban,0,182
1150017,MAPLEWOOD MOBILE HOME PARK,Chester,Ground water,70,6,6,0,16.66666667,0,0,Private,31,Urban,0,12
1150019,LONDONDERRY COURT MHP,Chester,Surface water purchased,160,8,3,0,0,0,0,Private,55,Rural,5,62
1150020,MT IDY MOBILE HOME PARK,Chester,Ground water,80,6,9,0,11.11111111,0,0,Private,40,Urban,12,14
1150021,ASHWOOD APARTMENTS,Chester,Ground water,75,2,2,0,0,0,0,Private,75,Urban,0,3
1150026,DOWNINGTOWN WATER AUTHORITY,Chester,Surface water,9900,7,8957,4.689070001,31.11532879,13.48665848,7.692307692,Local government,3500,Urban,1,44
1150029,ST MARY OF PROVIDENCE CENTER,Chester,Ground water,75,7,14,0,7.142857143,0,0,Private,11,Rural,3,139
1150030,LOAGS CORNER MOBILE HOME PARK,Chester,Ground water,130,4,3,0,0,0,0,Private,49,Rural,0,2
1150035,AQUA PA UWCHLAN,Chester,Surface water purchased,35518,25,37115,2.276707531,17.56163276,2.565000674,2.524585747,Private,16600,Urban,0,0
1150037,DEVEREUX FOUNDATION BRANDYWINE,Chester,Ground water,300,4,216,2.314814815,7.87037037,4.166666667,1.388888889,Private,19,Rural,1,9
1150039,CAMPHILL SPEC SCH BEAVER RUN,Chester,Ground water,140,4,11,0,9.090909091,0,0,Private,20,Rural,0,9
1150044,TEL HAI RETIREMENT COMMUNITY,Chester,Ground water,930,6,22,4.545454545,4.545454545,0,0,Private,1,Rural,1,9
1150045,BRANDYWINE TERRACE MHP,Chester,Ground water,90,3,2,0,0,0,0,Private,41,Urban,0,36
1150046,UMH GREGORY COURTS MHP,Chester,Ground water,67,4,3,0,0,0,0,Private,37,Urban,0,3
1150047,KEYSTONE COURT,Chester,Ground water,116,3,5,0,0,0,0,Private,45,Urban,1,13
1150049,HIDEAWAY MOBILE HOME PARK,Chester,Ground water,95,4,9,0,22.22222222,11.11111111,0,Private,39,Urban,0,1
1150051,INDIAN RUN VILLAGE MHP,Chester,Ground water,550,4,34,5.882352941,8.823529412,2.941176471,2.941176471,Private,243,Urban,0,23
1150052,UMH VALLEY VIEW HONEYBROOK MHP,Chester,Ground water,429,13,12,0,0,0,0,Private,136,Urban,6,21
1150064,SHADYSIDE MHP,Chester,Ground water,55,3,2,0,50,0,0,Private,16,Urban,1,27
1150065,ECHO VALLEY MHP,Chester,Ground water,60,4,2,0,50,0,0,Private,20,Urban,5,111
1150066,OXFORD BOROUGH,Chester,Surface water purchased,5280,10,4472,6.842576029,35.66636852,6.708407871,26.52057245,Local government,1597,Urban,1,37
1150069,COVENTRY TERRACE,Chester,Ground water,250,8,29,0,10.34482759,3.448275862,3.448275862,Private,127,Urban,4,10
1150070,HIGHLAND COURT,Chester,Ground water,54,4,2,0,0,0,0,Private,26,Rural,1,13
1150077,PHOENIXVILLE WATER DEPT,Chester,Surface water,16599,4,16237,7.070271602,22.22701238,6.374330233,10.70394777,Local government,5776,Urban,1,5
1150078,GARDENS AT POTTSTOWN,Chester,Ground water,70,4,1,0,0,0,0,Private,1,Rural,0,14
1150081,WARWICK MOBILE HOME PARK,Chester,Ground water,40,7,3,0,0,0,0,Private,30,Rural,0,27
1150082,LINCOLN CREST MHP,Chester,Ground water,242,9,17,5.882352941,23.52941176,11.76470588,5.882352941,Private,145,Urban,4,10
1150083,CREEKVIEW MHP,Chester,Ground water,200,3,6,0,16.66666667,0,0,Private,79,Urban,1,17
1150089,AQUA PA SPRING RUN,Chester,Surface water purchased,7303,24,13615,2.453176643,14.13881748,3.158281307,2.210796915,Private,1400,Rural,1,1
1150094,APPLEVILLE MOBILE HOME PARK,Chester,Ground water,461,17,75,4,9.333333333,1.333333333,4,Private,230,Urban,0,0
1150098,AQUA PA WEST CHESTER,Chester,Surface water,33918,16,37558,4.664785132,19.90521327,6.667021673,7.550987806,Private,9715,Urban,0,0
1150102,UMH OXFORD VILLAGE MHP,Chester,Ground water,480,5,52,5.769230769,15.38461538,1.923076923,9.615384615,Private,224,Urban,1,5
1150105,WEST GROVE BOROUGH,Chester,Ground water,2873,11,2838,1.973220578,44.397463,7.25863284,34.56659619,Local government,884,Urban,0,66
1150106,PA AMERICAN COATESVILLE,Chester,Surface water,30299,15,29251,6.071587296,45.69758299,27.15462719,13.15510581,Local government,11004,Urban,1,2
1150108,KENNETT SQUARE MUN WATER WORKS,Chester,Surface water purchased,6328,8,6364,6.128221245,55.86109365,4.981143935,48.52294155,Local government,1800,Urban,0,15
1150109,BOROUGH OF ATGLEN,Chester,Surface water purchased,1406,11,289,3.460207612,15.91695502,6.920415225,6.574394464,Local government,406,Urban,1,60
1150126,AQUA PA FRANKLIN,Chester,Ground water,265,3,166,2.409638554,7.228915663,0,4.819277108,Private,88,Urban,0,0
1150131,LONGWOOD GARDENS,Chester,Surface water purchased,250,6,930,2.043010753,11.50537634,2.150537634,4.301075269,Private,54,Urban,0,5
1150137,AQUA PA FRIENDSHIP,Chester,Surface water purchased,7675,27,14418,4.099042863,13.64960466,6.346233874,2.968511583,Private,1377,Urban,0,0
1150144,MARTINS COMMUNITY LP MHP,Chester,Ground water,180,4,5,0,20,0,0,Private,67,Rural,0,8
1150145,SHADY GROVE MOBILE HOME PARK,Chester,Ground water,129,6,1,0,0,0,0,Private,44,Rural,0,7
1150150,CALN MOBILE HOME PARK,Chester,Ground water,30,3,4,0,25,25,0,Private,18,Urban,1,10
1150155,AQUA PA BEVERSREDE,Chester,Surface water purchased,2300,8,6783,2.344095533,20.41869379,7.474568775,5.218929677,Private,359,Rural,0,0
1150157,WARWICK WATER WORKS,Chester,Ground water,98,6,13,0,0,0,0,Private,42,Rural,1,4
1150164,WOODBROOKE WATER AUTHORITY,Chester,Ground water,87,3,50,4,12,8,2,Private,34,Urban,0,45
1150165,LONDON GROVE TWP MUN AUTH,Chester,Surface water purchased,3706,6,9352,1.336612489,37.7673225,3.528656972,31.78999145,Local government,938,Rural,0,11
1150166,PA AMERICAN ROYERSFORD,Montgomery,Surface water,48511,20,40269,2.649680896,13.27572078,3.327621744,2.935260374,Private,11708,Urban,1,2
1150168,CAMPHILL VILLAGE KIMBERTON HLS,Chester,Ground water,100,3,20,0,15,0,5,Private,11,Rural,1,19
1150177,NOTTINGHAM MANOR M H  COURT,Chester,Ground water,513,23,32,3.125,12.5,3.125,6.25,Private,192,Urban,0,177
1150183,INDEPENDENCE PARK,Chester,Ground water,91,3,11,0,9.090909091,9.090909091,9.090909091,Private,35,Rural,0,38
1150185,VALLEY SPRINGS WATER CO,Chester,Surface water purchased,2500,7,1091,4.124656279,36.38863428,19.98166819,7.057745188,Private,392,Urban,7,67
1150186,COATESVILLE VETERANS ADM HOSP,Chester,Surface water purchased,2000,4,255,4.705882353,36.07843137,22.35294118,5.490196078,Federal government,25,Urban,0,28
1150189,PERRY PHILLIPS MOBILE HOMES,Chester,Ground water,60,4,2,0,0,0,0,Private,21,Rural,0,27
1150190,RIVEREDGE RENTALS,Chester,Ground water,80,3,552,3.442028986,8.152173913,4.347826087,1.992753623,Private,66,Urban,0,132
1150191,ELVERSON WATER COMPANY,Chester,Ground water,1641,9,579,2.417962003,4.14507772,0.172711572,1.727115717,Private,423,Rural,0,83
1150195,AQUA PA HONEYBROOK,Chester,Ground water,1600,8,1043,3.547459252,4.026845638,0.767018217,1.534036433,Private,416,Rural,0,0
1150197,VALLEY CROSSING,Chester,Surface water purchased,900,2,3796,4.557428873,40.72708114,22.94520548,8.825079031,Local government,302,Urban,0,21
1150200,RIDGEVIEW MHP,Chester,Ground water,55,5,2,0,0,0,0,Private,21,Rural,1,35
1150202,COCHRANVILLE MHP,Chester,Ground water,99,6,1,0,0,0,0,Private,33,Rural,1,10
1150204,STONE BARN RENTALS,Chester,Ground water,120,5,7,0,14.28571429,0,0,Private,36,Rural,0,30
1150205,AQUA PA WILLOWDALE,Chester,Surface water purchased,1300,7,1465,2.252559727,13.10580205,1.979522184,4.641638225,Local government,779,Urban,0,2
1150206,PA AMERICAN PHOENIXVILLE,Chester,Surface water purchased,2221,6,1674,2.56869773,10.21505376,1.851851852,5.973715651,Private,897,Urban,0,0
1150208,LAKE ROAD MOBILE HOME PARK,Chester,Ground water,40,3,11,0,36.36363636,0,36.36363636,Private,10,Urban,0,74
1150209,WETHERILL ESTATES,Chester,Ground water,250,3,76,1.315789474,13.15789474,1.315789474,5.263157895,Private,75,Rural,0,6
1150210,ST STEPHENS GREEN,Chester,Ground water,130,4,22,0,13.63636364,0,4.545454545,Local government,34,Urban,0,22
1150213,NOTTINGHAM TOWERS APARTMENTS,Chester,Ground water,180,4,4,0,25,0,25,Private,55,Rural,1,34
1150214,PHILLIPS MUSHROOM FARMS,Chester,Ground water,175,6,17,0,23.52941176,0,17.64705882,Private,6,Urban,0,95
1150215,RIDGLEA,Chester,Ground water,900,4,111,4.504504505,4.504504505,2.702702703,1.801801802,Private,303,Urban,0,50
1150216,SPRING RUN ESTATES WTP,Chester,Ground water,450,5,32,3.125,9.375,3.125,3.125,Private,238,Urban,0,9
1150220,NORTH COVENTRY WATER SYSTEM,Chester,Surface water purchased,2907,2,1968,3.201219512,10.72154472,2.896341463,2.540650407,Local government,752,Urban,0,3
1150223,CAMP HILL SOLTANE,Chester,Ground water,152,5,4,0,0,0,0,Public/Private,20,Rural,0,13
1150224,DOE RUN MOBILE HOME PARK,Chester,Ground water,29,3,1,0,0,0,0,Private,16,Rural,0,59
1150226,CAMPHILL SPEC SCH BEAVER FARM,Chester,Ground water,45,3,3,0,0,0,0,Public/Private,4,Rural,0,63
1150834,WESTTOWN SCHOOL,Chester,Surface water purchased,900,8,18,0,11.11111111,0,5.555555556,Private,28,Urban,2,47
1230004,CHESTER WATER AUTHORITY,Delaware,Surface water,138453,4,107295,5.333892539,37.95330631,27.72263386,6.217437905,Local government,36677,Urban,0,0
1230006,BRINTON MANOR,Delaware,Ground water,196,5,5,0,20,20,0,Private,1,Urban,3,10
1230012,SUEZ WATER PA BETHEL,Delaware,Surface water purchased,7809,7,6895,1.914430747,11.99419869,3.176214648,0.623640319,Private,2408,Urban,0,1
1230026,SOUTHPOINT HOMEOWNERS ASSOC,Delaware,Ground water,40,5,5,0,20,0,0,Private,21,Rural,0,0
1230886,PATHWAYS,Delaware,Ground water,53,6,1,0,0,0,0,Private,2,Urban,1,25
1230908,JOSEPH SILVESTRI AND SON INC,Delaware,Ground water,85,5,51,1.960784314,13.7254902,1.960784314,0,Private,3,Urban,2,68
1460005,WINDHAVEN MHP,Montgomery,Ground water,112,7,32,3.125,9.375,3.125,3.125,Private,79,Urban,0,101
1460006,PLEASANT RUN MHP,Montgomery,Ground water,45,3,2,0,0,0,0,Private,19,Rural,0,44
1460007,AQUA PA SUPERIOR IVY RIDGE,Montgomery,Ground water,150,4,27,3.703703704,3.703703704,3.703703704,0,Private,45,Urban,0,39
1460008,PARKHOUSE,Montgomery,Ground water,1200,9,15,0,6.666666667,0,0,Public/Private,7,Urban,0,27
1460020,AMBLER BORO WATER DEPT,Montgomery,Surface water,20000,33,14381,3.560253112,22.5923093,11.16055907,4.568527919,Local government,6609,Urban,0,33
1460022,COLLEGEVILLE TRAPPE JOINT PWD,Montgomery,Ground water,8470,30,8673,3.505130866,19.49729044,6.007148622,4.704254583,Local government,2807,Urban,1,5
1460023,E GREENVILLE BORO WATER DEPT,Montgomery,Surface water,3100,8,2878,2.605976372,7.852675469,1.598332175,3.752605976,Local government,1068,Urban,0,7
1460027,GREEN HILL MHP,Montgomery,Ground water,323,5,12,0,0,0,0,Private,152,Urban,0,4
1460028,AQUA PA HATBORO,Montgomery,Surface water purchased,12901,31,13315,3.552384529,15.98948554,3.987983477,7.059707097,Private,4406,Urban,0,2
1460030,OAK GROVE PARK MHP,Montgomery,Ground water,130,6,132,3.03030303,38.63636364,4.545454545,9.848484848,Private,130,Urban,0,1
1460033,HORSHAM WATER&SEWER AUTHORITY,Montgomery,Surface water purchased,25000,53,24391,2.464023615,14.99733508,3.837481038,2.062236071,Local government,7600,Urban,0,0
1460034,NORTH PENN WATER AUTHORITY,Montgomery,Surface water purchased,82822,154,118358,3.079639737,19.28978185,4.48976833,4.274320283,Local government,29779,Urban,0,0
1460036,UPPER HANOVER WATER AUTHORITY,Montgomery,Ground water,4600,18,3684,4.017372421,5.890336591,1.357220413,2.687296417,Local government,2131,Rural,3,20
1460037,POTTSTOWN BOROUGH WATER AUTH,Montgomery,Surface water,36000,3,28193,7.235838683,27.54229773,15.01791225,7.306778278,Local government,12000,Urban,0,3
1460038,SHANERS MOBILE HOME PARK,Montgomery,Ground water,220,5,35,2.857142857,8.571428571,2.857142857,2.857142857,Private,120,Urban,0,4
1460039,RED HILL WATER AUTHORITY,Montgomery,Ground water,2500,13,2572,4.043545879,6.648522551,1.283048212,2.643856921,Local government,1300,Urban,3,19
1460042,SCHWENKSVILLE BOROUGH AUTH,Montgomery,Ground water,5200,19,1568,4.846938776,9.43877551,1.084183673,6.887755102,Local government,1780,Urban,1,26
1460046,PA AMERICAN NORRISTOWN,Montgomery,Surface water,101153,9,100445,5.023644781,38.06162577,17.84956942,10.74518393,Private,31670,Urban,0,0
1460048,NORTH WALES WATER AUTHORITY,Montgomery,Surface water,72496,58,73796,3.416174318,21.47948398,4.193994254,2.443221855,Local government,21419,Urban,0,4
1460050,TELFORD BOROUGH AUTHORITY,Montgomery,Surface water purchased,7700,27,8325,3.447447447,18.41441441,5.333333333,6.498498499,Local government,2979,Urban,0,0
1460055,AUDUBON WATER COMPANY,Montgomery,Surface water purchased,9850,47,7535,2.932979429,25.21566025,4.817518248,1.592568016,Private,2759,Urban,2,41
1460056,ST GABRIELS HALL,Montgomery,Ground water,400,4,14,7.142857143,35.71428571,7.142857143,0,Public/Private,4,Urban,0,12
1460059,S C I GRATERFORD,Montgomery,Surface water purchased,3000,24,3157,97.59265125,70.92176117,56.76274945,12.0050681,State government,13,Urban,0,7
1460062,AVANTE APARTMENTS,Montgomery,Ground water,315,4,21,0,4.761904762,4.761904762,0,Private,105,Urban,0,38
1460064,YERKES WATER ASSOCIATION,Montgomery,Ground water,165,6,55,1.818181818,20,1.818181818,1.818181818,Private,59,Urban,1,13
1460068,AQUA PA PERKIOMEN WOODS,Montgomery,Ground water,1100,3,92,2.173913043,18.47826087,1.086956522,4.347826087,Private,462,Urban,0,0
1460069,AQUA PA PERKIOMEN TOWNSHIP,Montgomery,Ground water,3600,19,6567,2.070960865,17.66407797,5.588548805,3.578498553,Private,1406,Urban,0,0
1460070,COLLEGEVILLE PARK WATER ASSOC,Montgomery,Ground water,75,4,10,0,20,0,0,Private,20,Rural,0,1
1460071,SPRUCE COURT APARTMENTS,Montgomery,Ground water,100,11,204,9.803921569,9.31372549,2.941176471,3.431372549,Private,72,Urban,0,1
1460073,AQUA PA MAIN SYSTEM,Montgomery,Surface water,747460,109,874202,3.908593208,25.12050991,13.27027392,3.296949675,Private,337907,Urban,1,52
1460075,FREDERICK LIVING,Montgomery,Ground water,640,6,6,0,0,0,0,Private,10,Urban,0,11
1460077,VILLAGE OF NESHAMINY FALLS,Montgomery,Surface water purchased,1300,4,443,4.514672686,29.57110609,5.643340858,2.708803612,Private,766,Urban,0,10
1460085,AQUA PA SUPERIOR MAIN SYSTEM,Montgomery,Ground water,7500,21,17897,1.866234564,7.928703135,2.486450243,2.687601274,Private,3400,Urban,0,16
1460086,SAINT LUKE KNOLLS,Montgomery,Ground water,50,3,8,0,0,0,0,Private,40,Urban,0,3
1460087,PERKIOMEN CROSSING,Montgomery,Ground water,508,4,29,3.448275862,3.448275862,3.448275862,0,Local government,330,Urban,1,5
1460092,AQUA PA SUPERIOR CENTER POINT,Montgomery,Surface water purchased,500,4,117,2.564102564,22.22222222,4.273504274,5.128205128,Private,177,Urban,0,48
1510001,PHILADELPHIA WATER DEPARTMENT,Philadelphia,Surface water,1600000,9,1547528,8.892957026,64.23366815,41.49113942,13.39497573,Local government,475190,Urban,0,7
2080002,DEMORGAN ACRES MHP,Bradford,Ground water,90,5,1,0,0,0,0,Private,38,Rural,1,89
2080003,CANTON BOROUGH AUTHORITY,Bradford,Ground water,2050,6,154,4.545454545,1.298701299,0,0,Local government,818,Rural,0,53
2080004,KERRYVIEW MHP,Bradford,Ground water,80,3,1,0,0,0,0,Private,29,Rural,0,109
2080007,LERAYSVILLE WATER COMPANY,Bradford,Ground water,360,5,30,3.333333333,3.333333333,0,0,Local government,111,Rural,0,64
2080009,VILLAGE AT WHISPERING PINES,Bradford,Ground water,93,3,1,0,0,0,0,Private,49,Rural,0,38
