PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Minority,Percent_Below_Poverty_Line,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
1090150,MEADOW FARMS APTS,Bucks,Ground water,90,6,14.5,6,Private,39,Urban,3,0,3
1090153,PEDDLERS VILLAGE,Bucks,Ground water,960,4,14.5,6,Private,76,Urban,6,0,6
1090157,PLUMSTEAD TWP SUMMER HILL MEAD,Bucks,Ground water,1284,10,14.5,6,Local government,367,Urban,3,0,3
1090159,BUCKINGHAM TWP FURLONG,Bucks,Ground water,3100,18,14.5,6,Local government,169,Urban,4,0,4
1090160,BCWSA FOX RUN PRESERVE,Bucks,Ground water,220,3,14.5,6,Local government,108,Urban,3,0,3
1090163,PENNLAND FARMS,Bucks,Ground water,452,4,14.5,6,Local government,30,Urban,35,0,35
1090164,MILL CREEK RIDGE,Bucks,Ground water,99,4,14.5,6,Local government,73,Urban,21,0,21
1150004,AVONWHEEL ESTATE MHP,Chester,Ground water,300,4,19.1,7.1,Private,65,Urban,12,1,13
1150005,BOROUGH OF AVONDALE,Chester,Ground water,1108,4,19.1,7.1,Local government,329,Urban,4,0,4
1150007,TWIN PINES HEALTH CARE CENTER,Chester,Ground water,120,3,19.1,7.1,Private,2,Urban,28,0,28
1150011,MALVERN COURTS MHP,Chester,Ground water,250,6,19.1,7.1,Private,108,Urban,4,0,4
1150013,IMPERIAL MOBILE HOME PARK,Chester,Ground water,151,9,19.1,7.1,Private,51,Urban,41,14,55
1150015,TAYLORS MOBILE HOME PARK,Chester,Ground water,50,6,19.1,7.1,Private,47,Urban,182,0,182
1150017,MAPLEWOOD MOBILE HOME PARK,Chester,Ground water,70,6,19.1,7.1,Private,31,Urban,12,0,12
1150019,LONDONDERRY COURT MHP,Chester,Surface water purchased,160,8,19.1,7.1,Private,55,Urban,57,5,62
1150020,MT IDY MOBILE HOME PARK,Chester,Ground water,80,5,19.1,7.1,Private,40,Urban,2,12,14
1150021,ASHWOOD APARTMENTS,Chester,Ground water,75,2,19.1,7.1,Private,75,Urban,3,0,3
1150026,DOWNINGTOWN WATER AUTHORITY,Chester,Surface water,9900,7,19.1,7.1,Local government,3500,Urban,43,1,44
1150029,ST MARY OF PROVIDENCE CENTER,Chester,Ground water,75,7,19.1,7.1,Private,11,Urban,136,3,139
1150030,LOAGS CORNER MOBILE HOME PARK,Chester,Ground water,130,4,19.1,7.1,Private,49,Urban,2,0,2
1150035,AQUA PA UWCHLAN,Chester,Surface water purchased,35518,25,19.1,7.1,Private,16600,Urban,0,0,0
1150037,DEVEREUX FOUNDATION BRANDYWINE,Chester,Ground water,300,4,19.1,7.1,Private,19,Urban,8,1,9
1150039,CAMPHILL SPEC SCH BEAVER RUN,Chester,Ground water,140,4,19.1,7.1,Private,20,Urban,9,0,9
1150044,TEL HAI RETIREMENT COMMUNITY,Chester,Ground water,930,6,19.1,7.1,Private,1,Urban,8,1,9
1150045,BRANDYWINE TERRACE MHP,Chester,Ground water,90,3,19.1,7.1,Private,41,Urban,36,0,36
1150046,UMH GREGORY COURTS MHP,Chester,Ground water,67,4,19.1,7.1,Private,37,Urban,3,0,3
1150047,KEYSTONE COURT,Chester,Ground water,116,3,19.1,7.1,Private,45,Urban,12,1,13
1150049,HIDEAWAY MOBILE HOME PARK,Chester,Ground water,95,4,19.1,7.1,Private,39,Urban,1,0,1
1150051,INDIAN RUN VILLAGE MHP,Chester,Ground water,550,4,19.1,7.1,Private,243,Urban,23,0,23
1150052,UMH VALLEY VIEW HONEYBROOK MHP,Chester,Ground water,429,13,19.1,7.1,Private,136,Urban,15,6,21
1150064,SHADYSIDE MHP,Chester,Ground water,55,3,19.1,7.1,Private,16,Urban,26,1,27
1150065,ECHO VALLEY MHP,Chester,Ground water,60,4,19.1,7.1,Private,20,Urban,106,5,111
1150066,OXFORD BOROUGH,Chester,Surface water purchased,5280,10,19.1,7.1,Local government,1597,Urban,36,1,37
1150069,COVENTRY TERRACE,Chester,Ground water,250,8,19.1,7.1,Private,127,Urban,6,4,10
1150070,HIGHLAND COURT,Chester,Ground water,54,4,19.1,7.1,Private,26,Urban,12,1,13
1150077,PHOENIXVILLE WATER DEPT,Chester,Surface water,16599,4,19.1,7.1,Local government,5776,Urban,4,1,5
1150078,GARDENS AT POTTSTOWN,Chester,Ground water,70,4,19.1,7.1,Private,1,Urban,14,0,14
1150081,WARWICK MOBILE HOME PARK,Chester,Ground water,40,7,19.1,7.1,Private,30,Urban,27,0,27
1150082,LINCOLN CREST MHP,Chester,Ground water,242,9,19.1,7.1,Private,145,Urban,6,4,10
1150083,CREEKVIEW MHP,Chester,Ground water,200,3,19.1,7.1,Private,79,Urban,16,1,17
1150089,AQUA PA SPRING RUN,Chester,Surface water purchased,7303,24,19.1,7.1,Private,1400,Urban,0,1,1
1150094,APPLEVILLE MOBILE HOME PARK,Chester,Ground water,461,16,19.1,7.1,Private,230,Urban,0,0,0
1150098,AQUA PA WEST CHESTER,Chester,Surface water,33918,16,19.1,7.1,Private,9715,Urban,0,0,0
1150102,UMH OXFORD VILLAGE MHP,Chester,Ground water,480,5,19.1,7.1,Private,224,Urban,4,1,5
1150105,WEST GROVE BOROUGH,Chester,Ground water,2873,11,19.1,7.1,Local government,884,Urban,66,0,66
1150106,PA AMERICAN COATESVILLE,Chester,Surface water,30299,15,19.1,7.1,Local government,11004,Urban,1,1,2
1150108,KENNETT SQUARE MUN WATER WORKS,Chester,Surface water purchased,6328,8,19.1,7.1,Local government,1800,Urban,15,0,15
1150109,BOROUGH OF ATGLEN,Chester,Surface water purchased,1406,11,19.1,7.1,Local government,406,Urban,59,1,60
1150126,AQUA PA FRANKLIN,Chester,Ground water,265,3,19.1,7.1,Private,88,Urban,0,0,0
1150131,LONGWOOD GARDENS,Chester,Surface water purchased,250,6,19.1,7.1,Private,54,Urban,5,0,5
1150137,AQUA PA FRIENDSHIP,Chester,Surface water purchased,7675,26,19.1,7.1,Private,1377,Urban,0,0,0
1150144,MARTINS COMMUNITY LP MHP,Chester,Ground water,180,4,19.1,7.1,Private,67,Urban,8,0,8
1150145,SHADY GROVE MOBILE HOME PARK,Chester,Ground water,129,6,19.1,7.1,Private,44,Urban,7,0,7
1150150,CALN MOBILE HOME PARK,Chester,Ground water,30,3,19.1,7.1,Private,18,Urban,9,1,10
1150155,AQUA PA BEVERSREDE,Chester,Surface water purchased,2300,6,19.1,7.1,Private,359,Urban,0,0,0
1150157,WARWICK WATER WORKS,Chester,Ground water,98,6,19.1,7.1,Private,42,Urban,3,1,4
1150164,WOODBROOKE WATER AUTHORITY,Chester,Ground water,87,3,19.1,7.1,Private,34,Urban,45,0,45
1150165,LONDON GROVE TWP MUN AUTH,Chester,Surface water purchased,3706,6,19.1,7.1,Local government,938,Urban,11,0,11
1150166,PA AMERICAN ROYERSFORD,Chester,Surface water,48511,19,19.1,7.1,Private,11708,Urban,1,1,2
1150168,CAMPHILL VILLAGE KIMBERTON HLS,Chester,Ground water,100,3,19.1,7.1,Private,11,Urban,18,1,19
1150177,NOTTINGHAM MANOR M H  COURT,Chester,Ground water,513,23,19.1,7.1,Private,192,Urban,177,0,177
1150183,INDEPENDENCE PARK,Chester,Ground water,91,3,19.1,7.1,Private,35,Urban,38,0,38
1150185,VALLEY SPRINGS WATER CO,Chester,Surface water purchased,2500,7,19.1,7.1,Private,392,Urban,60,7,67
1150186,COATESVILLE VETERANS ADM HOSP,Chester,Surface water purchased,2000,4,19.1,7.1,Federal government,25,Urban,28,0,28
1150189,PERRY PHILLIPS MOBILE HOMES,Chester,Ground water,60,4,19.1,7.1,Private,21,Urban,27,0,27
1150190,RIVEREDGE RENTALS,Chester,Ground water,80,3,19.1,7.1,Private,66,Urban,132,0,132
1150191,ELVERSON WATER COMPANY,Chester,Ground water,1641,9,19.1,7.1,Private,423,Urban,83,0,83
1150195,AQUA PA HONEYBROOK,Chester,Ground water,1600,7,19.1,7.1,Private,416,Urban,0,0,0
1150197,VALLEY CROSSING,Chester,Surface water purchased,900,2,19.1,7.1,Local government,302,Urban,21,0,21
1150200,RIDGEVIEW MHP,Chester,Ground water,55,5,19.1,7.1,Private,21,Urban,34,1,35
1150202,COCHRANVILLE MHP,Chester,Ground water,99,6,19.1,7.1,Private,33,Urban,9,1,10
1150204,STONE BARN RENTALS,Chester,Ground water,120,5,19.1,7.1,Private,36,Urban,30,0,30
1150205,AQUA PA WILLOWDALE,Chester,Surface water purchased,1300,6,19.1,7.1,Local government,779,Urban,2,0,2
1150206,PA AMERICAN PHOENIXVILLE,Chester,Surface water purchased,2221,3,19.1,7.1,Private,897,Urban,0,0,0
1150208,LAKE ROAD MOBILE HOME PARK,Chester,Ground water,40,3,19.1,7.1,Private,10,Urban,74,0,74
1150209,WETHERILL ESTATES,Chester,Ground water,250,3,19.1,7.1,Private,75,Urban,6,0,6
1150210,ST STEPHENS GREEN,Chester,Ground water,130,4,19.1,7.1,Local government,34,Urban,22,0,22
1150213,NOTTINGHAM TOWERS APARTMENTS,Chester,Ground water,180,4,19.1,7.1,Private,55,Urban,33,1,34
1150214,PHILLIPS MUSHROOM FARMS,Chester,Ground water,175,6,19.1,7.1,Private,6,Urban,95,0,95
1150215,RIDGLEA,Chester,Ground water,900,4,19.1,7.1,Private,303,Urban,50,0,50
1150216,SPRING RUN ESTATES WTP,Chester,Ground water,450,5,19.1,7.1,Private,238,Urban,9,0,9
1150220,NORTH COVENTRY WATER SYSTEM,Chester,Surface water purchased,2907,2,19.1,7.1,Local government,752,Urban,3,0,3
1150223,CAMP HILL SOLTANE,Chester,Ground water,152,5,19.1,7.1,Public/Private,20,Urban,13,0,13
1150224,DOE RUN MOBILE HOME PARK,Chester,Ground water,29,3,19.1,7.1,Private,16,Urban,59,0,59
1150226,CAMPHILL SPEC SCH BEAVER FARM,Chester,Ground water,45,3,19.1,7.1,Public/Private,4,Urban,63,0,63
1150834,WESTTOWN SCHOOL,Chester,Surface water purchased,900,8,19.1,7.1,Private,28,Urban,45,2,47
1230004,CHESTER WATER AUTHORITY,Delaware,Surface water,138453,4,30.8,10.6,Local government,36677,Urban,0,0,0
1230006,BRINTON MANOR,Delaware,Ground water,196,5,30.8,10.6,Private,1,Urban,7,3,10
1230012,SUEZ WATER PA BETHEL,Delaware,Surface water purchased,7809,6,30.8,10.6,Private,2408,Urban,1,0,1
1230026,SOUTHPOINT HOMEOWNERS ASSOC,Delaware,Ground water,40,5,30.8,10.6,Private,21,Urban,0,0,0
1230886,PATHWAYS,Delaware,Ground water,53,6,30.8,10.6,Private,2,Urban,24,1,25
1230908,JOSEPH SILVESTRI AND SON INC,Delaware,Ground water,85,5,30.8,10.6,Private,3,Urban,66,2,68
1460005,WINDHAVEN MHP,Montgomery,Ground water,112,7,22.6,6.6,Private,79,Urban,101,0,101
1460006,PLEASANT RUN MHP,Montgomery,Ground water,45,3,22.6,6.6,Private,19,Urban,44,0,44
1460007,AQUA PA SUPERIOR IVY RIDGE,Montgomery,Ground water,150,4,22.6,6.6,Private,45,Urban,39,0,39
1460008,PARKHOUSE,Montgomery,Ground water,1200,9,22.6,6.6,Public/Private,7,Urban,27,0,27
1460020,AMBLER BORO WATER DEPT,Montgomery,Surface water,20000,33,22.6,6.6,Local government,6609,Urban,33,0,33
1460022,COLLEGEVILLE TRAPPE JOINT PWD,Montgomery,Ground water,8470,30,22.6,6.6,Local government,2807,Urban,4,1,5
1460023,E GREENVILLE BORO WATER DEPT,Montgomery,Surface water,3100,8,22.6,6.6,Local government,1068,Urban,7,0,7
1460027,GREEN HILL MHP,Montgomery,Ground water,323,5,22.6,6.6,Private,152,Urban,4,0,4
1460028,AQUA PA HATBORO,Montgomery,Surface water purchased,12901,31,22.6,6.6,Private,4406,Urban,2,0,2
1460030,OAK GROVE PARK MHP,Montgomery,Ground water,130,6,22.6,6.6,Private,130,Urban,1,0,1
1460033,HORSHAM WATER&SEWER AUTHORITY,Montgomery,Surface water purchased,25000,53,22.6,6.6,Local government,7600,Urban,0,0,0
1460034,NORTH PENN WATER AUTHORITY,Montgomery,Surface water purchased,82822,151,22.6,6.6,Local government,29779,Urban,0,0,0
1460036,UPPER HANOVER WATER AUTHORITY,Montgomery,Ground water,4600,18,22.6,6.6,Local government,2131,Urban,17,3,20
1460037,POTTSTOWN BOROUGH WATER AUTH,Montgomery,Surface water,36000,3,22.6,6.6,Local government,12000,Urban,3,0,3
1460038,SHANERS MOBILE HOME PARK,Montgomery,Ground water,220,5,22.6,6.6,Private,120,Urban,4,0,4
1460039,RED HILL WATER AUTHORITY,Montgomery,Ground water,2500,13,22.6,6.6,Local government,1300,Urban,16,3,19
1460042,SCHWENKSVILLE BOROUGH AUTH,Montgomery,Ground water,5200,19,22.6,6.6,Local government,1780,Urban,25,1,26
1460046,PA AMERICAN NORRISTOWN,Montgomery,Surface water,101153,9,22.6,6.6,Private,31670,Urban,0,0,0
1460048,NORTH WALES WATER AUTHORITY,Montgomery,Surface water,72496,58,22.6,6.6,Local government,21419,Urban,4,0,4
1460050,TELFORD BOROUGH AUTHORITY,Montgomery,Surface water purchased,7700,27,22.6,6.6,Local government,2979,Urban,0,0,0
1460055,AUDUBON WATER COMPANY,Montgomery,Surface water purchased,9850,45,22.6,6.6,Private,2759,Urban,39,2,41
1460056,ST GABRIELS HALL,Montgomery,Ground water,400,4,22.6,6.6,Public/Private,4,Urban,12,0,12
1460059,S C I GRATERFORD,Montgomery,Surface water purchased,3000,23,22.6,6.6,State government,13,Urban,7,0,7
1460062,AVANTE APARTMENTS,Montgomery,Ground water,315,4,22.6,6.6,Private,105,Urban,38,0,38
1460064,YERKES WATER ASSOCIATION,Montgomery,Ground water,165,6,22.6,6.6,Private,59,Urban,12,1,13
1460068,AQUA PA PERKIOMEN WOODS,Montgomery,Ground water,1100,3,22.6,6.6,Private,462,Urban,0,0,0
1460069,AQUA PA PERKIOMEN TOWNSHIP,Montgomery,Ground water,3600,19,22.6,6.6,Private,1406,Urban,0,0,0
1460070,COLLEGEVILLE PARK WATER ASSOC,Montgomery,Ground water,75,4,22.6,6.6,Private,20,Urban,1,0,1
1460071,SPRUCE COURT APARTMENTS,Montgomery,Ground water,100,11,22.6,6.6,Private,72,Urban,1,0,1
1460073,AQUA PA MAIN SYSTEM,Montgomery,Surface water,747460,109,22.6,6.6,Private,337907,Urban,51,1,52
1460075,FREDERICK LIVING,Montgomery,Ground water,640,6,22.6,6.6,Private,10,Urban,11,0,11
1460077,VILLAGE OF NESHAMINY FALLS,Montgomery,Surface water purchased,1300,4,22.6,6.6,Private,766,Urban,10,0,10
1460085,AQUA PA SUPERIOR MAIN SYSTEM,Montgomery,Ground water,7500,21,22.6,6.6,Private,3400,Urban,16,0,16
1460086,SAINT LUKE KNOLLS,Montgomery,Ground water,50,3,22.6,6.6,Private,40,Urban,3,0,3
1460087,PERKIOMEN CROSSING,Montgomery,Ground water,508,4,22.6,6.6,Local government,330,Urban,4,1,5
1460092,AQUA PA SUPERIOR CENTER POINT,Montgomery,Surface water purchased,500,4,22.6,6.6,Private,177,Urban,48,0,48
1510001,PHILADELPHIA WATER DEPARTMENT,Philadelphia,Surface water,1600000,9,64.2,26.4,Local government,475190,Urban,7,0,7
2080002,DEMORGAN ACRES MHP,Bradford,Ground water,90,5,3.8,13.6,Private,38,Rural,88,1,89
2080003,CANTON BOROUGH AUTHORITY,Bradford,Ground water,2050,6,3.8,13.6,Local government,818,Rural,53,0,53
2080004,KERRYVIEW MHP,Bradford,Ground water,80,3,3.8,13.6,Private,29,Rural,109,0,109
2080007,LERAYSVILLE WATER COMPANY,Bradford,Ground water,360,5,3.8,13.6,Local government,111,Rural,64,0,64
2080009,VILLAGE AT WHISPERING PINES,Bradford,Ground water,93,3,3.8,13.6,Private,49,Rural,38,0,38
2080010,NEW ALBANY WATER FUND,Bradford,Ground water,336,8,3.8,13.6,Local government,148,Rural,17,0,17
2080011,SEVEN HILLS MHP,Bradford,Ground water,65,3,3.8,13.6,Private,37,Rural,140,0,140
2080012,HARTS MHP,Bradford,Ground water,65,3,3.8,13.6,Private,30,Rural,43,0,43
2080013,AMERICAN MODERN HOMES,Bradford,Ground water,100,3,3.8,13.6,Private,58,Rural,37,2,39
2080015,WOODSIDE TERRACE MHP,Bradford,Ground water,84,4,3.8,13.6,Private,50,Rural,6,1,7
2080017,ECHO BEACH MHP,Bradford,Ground water,43,6,3.8,13.6,Private,18,Rural,107,0,107
2080019,TOWN AND COUNTRY ESTATES,Bradford,Ground water,200,4,3.8,13.6,Private,94,Rural,29,0,29
2080020,TROY WATER DEPTARTMENT,Bradford,Ground water,1362,7,3.8,13.6,Local government,618,Rural,11,2,13
2080023,RIDGEBURY MOBILE MANOR,Bradford,Ground water,38,4,3.8,13.6,Private,21,Rural,11,2,13
2080024,HILLSIDE ACRES MHP,Bradford,Ground water,45,4,3.8,13.6,Private,35,Rural,109,12,121
2080025,MOBILE ACRES MHP,Bradford,Groundwater under influence of surface water,100,4,3.8,13.6,Private,48,Rural,82,0,82
2080027,JACKSON MHP,Bradford,Ground water,300,4,3.8,13.6,Private,90,Rural,56,0,56
2080028,AQUA PA SUSQUEHANNA DIVISION,Bradford,Ground water,15569,8,3.8,13.6,Private,4301,Rural,23,5,28
2080029,TOWANDA MUNICIPAL AUTHORITY,Bradford,Ground water,5000,8,3.8,13.6,Local government,1968,Rural,62,0,62
2080030,WYSOX TWP MUNICIPAL AUTHORITY,Bradford,Ground water purchased,1763,3,3.8,13.6,Local government,1,Rural,9,0,9
2080032,ULSTER MUNICIPAL AUTHORITY,Bradford,Groundwater under influence of surface water,500,6,3.8,13.6,Local government,180,Rural,44,2,46
2080033,BRADFORD COUNTY MANOR,Bradford,Ground water,700,5,3.8,13.6,Local government,3,Rural,12,0,12
2080034,WYALUSING MUNICIPAL AUTHORITY,Bradford,Ground water,700,9,3.8,13.6,Local government,300,Rural,90,0,90
2080807,WYALUSING VALLEY RTRMNT & PCH,Bradford,Ground water,59,3,3.8,13.6,Private,1,Rural,5,0,5
2080814,SHERWOOD RETIREMENT AND PCH,Bradford,Ground water,32,3,3.8,13.6,Private,1,Rural,3,0,3
2350001,SCOTT MOBILE HOME PARK,Lackawanna,Ground water,64,3,12,14.8,Private,35,Urban,596,0,596
2350004,AQUA PA WATER CO STANTON,Lackawanna,Ground water,425,9,12,14.8,Private,142,Urban,4,0,4
2350005,BENTON SPRINGS LLC,Lackawanna,Ground water,150,3,12,14.8,Private,58,Urban,61,0,61
2350010,EVERGREEN MOBILE HOME PARK,Lackawanna,Ground water,75,3,12,14.8,Private,30,Urban,0,0,0
2350012,TALL TIMBERS VILLAGE M H P,Lackawanna,Ground water,275,6,12,14.8,Private,96,Urban,50,0,50
2350013,MT LAUREL MOBILE HOME VILLAGE,Lackawanna,Ground water,120,4,12,14.8,Private,51,Urban,6,1,7
2350014,HILLSIDE MOBILE HOME PARK,Lackawanna,Ground water,99,5,12,14.8,Private,40,Urban,46,2,48
2350016,LAKESIDE VILLAGE,Lackawanna,Ground water,86,3,12,14.8,Private,44,Urban,8,0,8
2350019,SUNSET MOBILE HOME PARK,Lackawanna,Ground water,150,3,12,14.8,Private,51,Urban,28,0,28
2350025,AQUA PA WATER CO GLENBURN,Lackawanna,Ground water,150,3,12,14.8,Private,50,Urban,2,0,2
2350026,PAWC LAKE SPANGENBERG,Lackawanna,Ground water,370,10,12,14.8,Private,132,Urban,29,0,29
2350027,AQUA PA WATER CO MOSCOW,Lackawanna,Ground water,600,3,12,14.8,Private,220,Urban,1,0,1
2350028,CLARKS SUMMIT STATE HOSPITAL,Lackawanna,Ground water,747,6,12,14.8,State government,20,Urban,11,0,11
2350029,AQUA PA WATER CO SUNSET HILLS,Lackawanna,Ground water,145,3,12,14.8,Private,46,Urban,2,0,2
2350032,PAW OLWEN HEIGHTS,Lackawanna,Ground water,330,9,12,14.8,Private,175,Urban,9,0,9
2350033,RBE WATER ASSOCIATION INC,Lackawanna,Ground water,175,5,12,14.8,Private,72,Urban,32,6,38
2350034,AQUA PA WATER CO ELMBROOK,Lackawanna,Ground water,300,6,12,14.8,Private,129,Urban,1,0,1
