PWS_ID,PWS_Name,County_Name,Ownership,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
1090081,DOYLESTOWN BORO WATER(DBWD),Bucks,Municipal,Ground water,8700,19,3.960992054,8.6202745,1.504936191,4.659282446,Local government,3069,Urban,10,1,11
1090082,QUAKERTOWN MUNI WATERWORKS,Bucks,Municipal,Ground water,12800,30,4.518503374,10.7646698,3.27131466,5.755469229,Local government,3551,Urban,5,0,5
1090084,DELAWARE VALLEY COLLEGE,Bucks,Institutional Education,Ground water,1200,5,2.240566038,11.55660377,5.660377358,2.712264151,Public/Private,41,Urban,38,0,38
1090089,NORTHAMPTON BUCKS CNTY MUNI AUTH,Bucks,Authority,Surface water purchased,36750,54,2.043938406,8.411496213,0.534182675,1.642674424,Local government,10222,Urban,49,0,49
1090091,TRUMBAUERSVILLE MUNI WATERWORK,Bucks,Municipal,Ground water,1057,9,1.505016722,6.52173913,1.672240803,3.344481605,Local government,392,Urban,18,0,18
1090093,NESHAMINY MANOR,Bucks,Institutional Health,Ground water,2100,9,1.564380265,12.39470517,6.377858002,2.406738869,Public/Private,18,Urban,48,0,48
1090097,OLDE COLONIAL GREEN PROPERTY ASSN,Bucks,Association - Co-Op,Ground water,900,6,2.620087336,3.493449782,1.310043668,1.310043668,Public/Private,309,Urban,35,0,35
1090098,PINE RUN COMM,Bucks,Institutional Health,Ground water,700,5,2.770780856,3.526448363,1.259445844,1.259445844,Public/Private,320,Urban,96,0,96
1090099,DURHAM VILLAGE RESIDENCE ASSN,Bucks,Association - Co-Op,Ground water,160,6,4.62962963,12.96296296,0.925925926,2.777777778,Local government,60,Urban,25,6,31
1090101,YORKSHIRE MEADOW CONDO ASSN,Bucks,Association - Co-Op,Ground water,90,4,1.351351351,8.108108108,0,1.351351351,Public/Private,72,Urban,36,3,39
1090102,THE HERMITAGE CONDO ASSN,Bucks,Association - Co-Op,Ground water,75,6,0,7.692307692,0,0,Public/Private,49,Urban,41,0,41
1090103,INGHAM MEWS CONDO ASSN,Bucks,Association - Co-Op,Ground water,97,6,1.176470588,8.235294118,0,2.352941176,Public/Private,64,Rural,93,0,93
1090104,BEDMINSTER MUNI AUTH,Bucks,Auth Leases Back To Mun,Ground water,3042,6,2.834645669,7.139107612,0,3.097112861,Local government,1100,Urban,2,0,2
1090106,DUBLIN ACRES,Bucks,Mobile Home Park,Ground water,175,4,5,16.66666667,0,15,Public/Private,54,Urban,5,0,5
1090107,DUBLIN BORO,Bucks,Municipal,Ground water,2200,10,5.304621849,16.2289916,0.420168067,14.33823529,Local government,350,Urban,1,0,1
1090117,HILLTOWN TWP W AND S AUTH,Bucks,Auth Leases Back To Mun,Surface water purchased,5415,12,1.834862385,18.5390341,2.648433443,10.19560325,Local government,1248,Urban,16,0,16
1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Municipal,Ground water,25,4,3.03030303,12.12121212,1.515151515,3.03030303,Local government,15,Rural,33,0,33
1090122,UPPER MAKEFIELD TWP HERITAGE H,Bucks,Municipal,Ground water,1800,5,3.019538188,12.5518058,1.006512729,3.6116045,Local government,596,Urban,2,1,3
1090123,BUCKINGHAM TWP FIELDSTONE PL,Bucks,Municipal,Ground water,281,6,6.976744186,12.40310078,0,6.201550388,Local government,104,Urban,5,0,5
1090125,MILFORD TWP WATER AUTH,Bucks,Authority,Ground water,4498,24,2.302357836,5.575589459,1.511789182,2.496532594,Local government,1186,Urban,15,0,15
1090127,WARWICK TWP W AND S AUTH,Bucks,Authority - (Purchases),Surface water purchased,11133,20,1.772027284,7.608466353,0.133605232,1.3079249,Local government,2939,Urban,1,1,2
1090128,DOYLESTOWN TWP MUNI AUTH(DTMA),Bucks,Authority,Surface water purchased,8655,52,2.065544952,7.364389754,2.844048217,2.178553491,Local government,2029,Urban,7,0,7
1090129,BCWSA SOLEBURY,Bucks,Authority,Ground water,2100,7,0.936329588,8.426966292,0.561797753,1.872659176,Local government,474,Urban,5,0,5
1090130,BCWSA NEW HOPE,Bucks,Authority,Surface water,3017,14,3.703703704,7.843137255,0,2.614379085,Local government,3017,Urban,3,0,3
1090131,RICHLAND TWP WATER AUTH,Bucks,Authority,Ground water,6800,18,3.422924901,12.03952569,1.636363636,5.920948617,Local government,1922,Rural,84,0,84
1090133,BUCKINGHAM SPRINGS VILLAGE MHP,Bucks,Mobile Home Park,Ground water,1295,4,2.102102102,6.006006006,0.600600601,0.2002002,Private,646,Urban,23,0,23
1090135,SCENIC VIEW APTS,Bucks,Apartments,Ground water,150,5,0,0,0,0,Private,50,Rural,3,0,3
1090137,BUCKINGHAM TWP COLD SPRING SYS,Bucks,Municipal,Ground water,4760,8,4.649056604,12.70943396,0.709433962,3.18490566,Local government,1783,Urban,1,0,1
1090138,PLUMSTEAD TWP DURHAM RIDGE,Bucks,Municipal,Ground water,714,7,1.841473179,13.93114492,2.882305845,5.364291433,Local government,204,Rural,3,0,3
1090140,HULMEVILLE MUNI AUTH,Bucks,Authority - (Purchases),Surface water purchased,750,3,2.0657277,12.48826291,4.225352113,2.910798122,Local government,283,Urban,4,0,4
1090141,NORTH PENN WATER AUTH RIDGE RUN SYS,Bucks,Authority,Ground water purchased,588,8,4.87804878,5.691056911,0.81300813,4.06504065,Local government,196,Urban,0,0,0
1090144,PLUMSTEAD TWP NORTHERN SYSTEM,Bucks,Municipal,Ground water,2605,12,2.400698385,6.110868616,0.480139677,1.1348756,Local government,1002,Urban,27,0,27
1090145,BUCKINGHAM TWP BUCK VILLAGE,Bucks,Municipal,Ground water,1050,4,4.597701149,10.72796935,0.383141762,3.448275862,Local government,125,Urban,5,0,5
1090147,AQUA PA PEDDLERS VIEW,Bucks,Private Investor Owned,Ground water,600,4,0.918635171,8.398950131,0.524934383,1.968503937,Private,214,Urban,0,0,0
1090148,PLUMSTEAD TWP PATRIOTS RIDGE,Bucks,Municipal - (Purchases),Ground water purchased,1704,2,2.435530086,6.446991404,0.573065903,0.429799427,Local government,600,Urban,2,0,2
1090153,PEDDLERS VILLAGE,Bucks,Private Investor Owned,Ground water,960,4,3.179190751,6.213872832,0.433526012,1.300578035,Private,76,Urban,6,0,6
1090157,PLUMSTEAD TWP SUMMER HILL MEADOW,Bucks,Municipal,Ground water,1284,10,2.349869452,4.830287206,0,3.263707572,Local government,367,Urban,3,0,3
1090159,BUCKINGHAM TWP FURLONG SYS,Bucks,Municipal,Ground water,3100,18,2.100105005,5.985299265,0.630031502,0.210010501,Local government,169,Urban,4,0,4
1090160,BCWSA FOX RUN PRESERVE,Bucks,Authority,Ground water,220,3,0.906344411,8.459214502,0.604229607,2.114803625,Local government,108,Rural,3,0,3
1090163,PENNLAND FARM WATER SYSTEM,Bucks,Authority,Ground water,452,4,2.894736842,7.105263158,0,2.894736842,Local government,30,Urban,35,0,35
1090164,MILL CREEK RIDGE,Bucks,Municipal,Ground water,99,4,2.631578947,5.263157895,0,0,Local government,73,Rural,21,0,21
1150004,AVONWHEEL ESTATES,Chester,Mobile Home Park,Ground water,300,4,1.204819277,37.75100402,3.614457831,31.72690763,Private,65,Urban,12,1,13
1150005,AVONDALE BORO WATER,Chester,Municipal,Ground water,1108,4,1.316752012,37.746891,3.511338698,31.74835406,Local government,329,Urban,4,0,4
1150007,CHATHAM ACRES NURSING CENTER,Chester,Institutional Health,Ground water,120,3,0,38.88888889,5.555555556,33.33333333,Private,2,Rural,28,0,28
1150011,MALVERN COURTS MHP,Chester,Mobile Home Park,Ground water,250,6,4.166666667,29.16666667,0,8.333333333,Private,108,Urban,4,0,4
1150013,IMPERIAL MHP,Chester,Mobile Home Park,Ground water,151,9,4.444444444,10,3.333333333,2.222222222,Private,51,Urban,41,14,55
1150015,TAYLORS MHP,Chester,Mobile Home Park,Ground water,50,6,4.838709677,37.09677419,20.96774194,6.451612903,Private,47,Urban,182,0,182
1150017,MAPLEWOOD MHP,Chester,Mobile Home Park,Ground water,70,6,3.921568627,11.76470588,7.843137255,1.960784314,Private,31,Urban,12,0,12
1150019,LONDONDERRY COURT MHP,Chester,Mobile Home Park,Surface water purchased,160,8,2.380952381,10.71428571,0,8.333333333,Private,55,Rural,57,5,62
1150020,MT IDY MHP,Chester,Mobile Home Park,Ground water,80,5,0,6.52173913,0,2.173913043,Private,40,Urban,2,12,14
1150021,ASHWOOD APARTMENTS,Chester,Apartments,Ground water,75,2,0,12.5,0,0,Private,75,Urban,3,0,3
1150026,DOWNINGTOWN MUNI WATER AUTH,Chester,Authority,Surface water,9900,7,4.668544194,31.04419411,13.3882149,7.614818024,Local government,3500,Urban,43,1,44
1150029,ST MARYS OF PROVIDENCE CENTER,Chester,Institutional Health,Ground water,75,7,3.125,3.125,0,3.125,Private,11,Rural,136,3,139
1150030,LOAGS CORNER MHP,Chester,Mobile Home Park,Ground water,130,4,2.631578947,5.263157895,0,2.631578947,Private,49,Rural,2,0,2
1150035,AQUA PA UWCHLAN,Chester,Private Investor Owned,Surface water purchased,35518,25,2.186775217,16.85284233,2.378473044,2.733469021,Private,16600,Urban,0,0,0
1150037,DEVEREUX FOUNDATION BRANDYWINE,Chester,Institutional Health,Ground water,300,4,2.205882353,7.352941176,3.676470588,1.470588235,Private,19,Rural,8,1,9
1150039,CAMPHILL SPEC SCH BEAVER RUN,Chester,Institutional Correctional,Ground water,140,4,0,0,0,0,Private,20,Rural,9,0,9
1150044,TEL HAI RETIREMENT COMM,Chester,Institutional Health,Ground water,930,6,3.636363636,3.939393939,0.909090909,1.515151515,Private,1,Rural,8,1,9
1150045,BRANDYWINE TERRACE MHP,Chester,Mobile Home Park,Ground water,90,3,2.857142857,2.857142857,0,2.857142857,Private,41,Urban,36,0,36
1150046,GREGORY COURT MHP,Chester,Mobile Home Park,Ground water,67,4,3.225806452,3.225806452,0,1.612903226,Private,37,Urban,3,0,3
1150047,KEYSTONE COURT MHP,Chester,Mobile Home Park,Ground water,116,3,3.03030303,4.545454545,1.515151515,1.515151515,Private,45,Urban,12,1,13
1150049,HIDEAWAY MHP,Chester,Mobile Home Park,Ground water,95,4,4,16,12,4,Private,39,Urban,1,0,1
1150051,INDIAN RUN VILLAGE MHP,Chester,Mobile Home Park,Ground water,550,4,6.825938567,7.849829352,1.706484642,4.09556314,Private,243,Urban,23,0,23
1150052,VALLEY VIEW MHP HONEYBROOK,Chester,Mobile Home Park,Ground water,429,13,3.433476395,3.862660944,0.858369099,1.716738197,Private,136,Urban,15,6,21
1150064,SHADY SIDE MHP,Chester,Mobile Home Park,Ground water,55,3,10,30,0,20,Private,16,Urban,26,1,27
1150065,ECHO VALLEY MHP,Chester,Mobile Home Park,Ground water,60,4,0,50,0,0,Private,20,Urban,106,5,111
1150066,OXFORD BORO WATER DEPT,Chester,Municipal,Surface water purchased,5280,10,6.589361311,34.16160501,6.607767348,25.17945886,Local government,1597,Urban,36,1,37
1150069,COVENTRY TERRACE MHP,Chester,Mobile Home Park,Ground water,250,8,0.943396226,11.32075472,3.459119497,2.51572327,Private,127,Urban,6,4,10
1150070,HIGHLAND COURT MHP,Chester,Mobile Home Park,Ground water,54,4,6.25,6.25,0,6.25,Private,26,Rural,12,1,13
1150077,PHOENIXVILLE MUNI WATERWRKS,Chester,Municipal,Surface water,16599,4,6.903679206,21.7386169,6.212720723,10.49430107,Local government,5776,Urban,4,1,5
1150078,GARDENS AT POTTSTOWN,Chester,Institutional Health,Ground water,70,4,0,0,0,0,Private,1,Rural,14,0,14
1150081,WARWICK LAND DIV INC MHP,Chester,Mobile Home Park,Ground water,40,7,0,0,0,0,Private,30,Rural,27,0,27
1150082,LINCOLN CREST MHP,Chester,Mobile Home Park,Ground water,242,9,5.303030303,21.96969697,10.60606061,5.303030303,Private,145,Urban,6,4,10
1150083,STONY RUN MHP,Chester,Mobile Home Park,Ground water,200,3,3.896103896,10.38961039,5.194805195,1.298701299,Private,79,Urban,16,1,17
1150089,AQUA PA SPRING RUN,Chester,Private Investor Owned,Surface water purchased,7303,24,2.372960737,14.33143392,3.223792054,2.084146437,Private,1400,Rural,0,1,1
1150094,MISA CORP APPLEVILLE MHP,Chester,Mobile Home Park,Ground water,461,16,4.347826087,9.510869565,0.815217391,3.668478261,Private,230,Urban,0,0,0
1150098,AQUA PA WEST CHESTER,Chester,Private Investor Owned,Surface water,33918,16,4.587833018,19.31563799,6.351627266,7.264273942,Private,9715,Urban,0,0,0
1150102,UMH OXFORD VILLAGE MHP,Chester,Mobile Home Park,Ground water,480,5,5.217391304,15.2173913,1.304347826,9.130434783,Private,224,Urban,4,1,5
1150105,WEST GROVE BORO,Chester,Municipal,Ground water,2873,11,1.982608696,44.34782609,7.234782609,34.53913043,Local government,884,Urban,66,0,66
1150106,PA AMER WATER CO COATESVILLE DIST,Chester,Private Investor Owned,Surface water,30299,15,5.534414506,41.10330737,24.06589197,11.52598646,Local government,11004,Urban,1,1,2
1150108,KENNETT SQUARE BORO,Chester,Municipal,Surface water purchased,6328,8,5.752650177,52.48056537,4.692579505,45.27208481,Local government,1800,Urban,15,0,15
1150109,ATGLEN BORO,Chester,Municipal,Surface water purchased,1406,11,3.333333333,15.86206897,7.011494253,6.666666667,Local government,406,Urban,59,1,60
1150126,AQUA PA FRANKLIN,Chester,Private Investor Owned,Ground water,265,3,2.164502165,7.359307359,0.288600289,5.050505051,Private,88,Urban,0,0,0
1150131,LONGWOOD GARDENS,Chester,Institutional Education,Surface water purchased,250,6,2.317880795,9.51986755,1.986754967,4.304635762,Private,54,Urban,5,0,5
1150137,AQUA PA FRIENDSHIP,Chester,Private Investor Owned,Surface water purchased,7675,26,3.664381037,10.4844061,4.431173044,2.617415026,Private,1377,Urban,0,0,0
1150144,MARTINS COMMUNITY LP MHP,Chester,Mobile Home Park,Ground water,180,4,3.846153846,11.53846154,3.846153846,7.692307692,Private,67,Rural,8,0,8
1150145,SHADY GROVE MHP,Chester,Mobile Home Park,Ground water,129,6,4.081632653,6.12244898,0,6.12244898,Private,44,Rural,7,0,7
1150150,CALN MHP,Chester,Mobile Home Park,Ground water,30,3,7.142857143,35.71428571,21.42857143,7.142857143,Private,18,Urban,9,1,10
1150155,AQUA PA BEVERSREDE SYS,Chester,Priv Investr Owned-(Pu),Surface water purchased,2300,6,2.436175538,21.34156516,8.192891707,5.156015351,Private,359,Rural,0,0,0
1150157,WARWICK WATERWORKS ASSN,Chester,Association - Co-Op,Ground water,98,6,1.923076923,1.923076923,0,0,Private,42,Rural,3,1,4
1150164,WOODBROOKE WATER AUTH,Chester,Authority,Ground water,87,3,3.846153846,12.82051282,8.974358974,1.282051282,Private,34,Urban,45,0,45
1150165,LONDON GROVE TWP MUNI AUTH,Chester,Authority - (Purchases),Surface water purchased,3706,6,1.307353865,37.69956003,3.519798869,31.71590195,Local government,938,Rural,11,0,11
1150166,PA AMER WATER CO ROYERSFORD DIST,Montgomery,Private Investor Owned,Surface water,48511,19,2.562976261,12.96766677,3.361280342,2.889555203,Private,11708,Urban,1,1,2
1150168,CAMPHILL VILLAGE KIMBERTON,Chester,Institutional Health,Ground water,100,3,2.272727273,13.63636364,2.272727273,4.545454545,Private,11,Rural,18,1,19
1150177,NOTTINGHAM MANOR  MHP,Chester,Mobile Home Park,Ground water,513,23,2.941176471,11.76470588,5.882352941,5.882352941,Private,192,Urban,177,0,177
1150183,INDEPENDENCE MHP,Chester,Mobile Home Park,Ground water,91,3,0,20,0,0,Private,35,Rural,38,0,38
1150185,VALLEY TWP VALLEY SPRINGS SYS,Chester,Municipal,Surface water purchased,2500,7,4.097452935,36.10188261,19.82281285,6.976744186,Private,392,Urban,60,7,67
1150186,V A MEDICAL CENTER COATESVILLE,Chester,Institutional Health,Surface water purchased,2000,4,4.655870445,35.82995951,22.26720648,5.668016194,Federal government,25,Urban,28,0,28
1150189,PERRY PHILLIPS MHP,Chester,Mobile Home Park,Ground water,60,4,5.882352941,11.76470588,5.882352941,0,Private,21,Rural,27,0,27
1150190,RIVEREDGE RENTALS,Chester,Apartments,Ground water,80,3,3.473227207,8.393632417,4.341534009,2.026049204,Private,66,Urban,132,0,132
1150191,ELVERSON WATER CO INC,Chester,Private Investor Owned,Ground water,1641,9,2.597974461,4.139145751,0.088066931,1.761338617,Private,423,Rural,83,0,83
1150195,AQUA PA HONEYBROOK,Chester,Private Investor Owned,Ground water,1600,7,3.586597452,4.011326097,0.755073148,1.557338367,Private,416,Rural,0,0,0
1150197,VALLEY TWP VALLEY CROSSING SYS,Chester,Municipal - (Purchases),Surface water purchased,900,2,4.350038158,39.02314933,21.80106843,8.089544645,Local government,302,Urban,21,0,21
1150202,COCHRANVILLE MHP,Chester,Mobile Home Park,Ground water,99,6,7.692307692,7.692307692,0,7.692307692,Private,33,Rural,9,1,10
1150204,STONE BARN APTS,Chester,Apartments,Ground water,120,5,4.081632653,6.12244898,0,6.12244898,Private,36,Rural,30,0,30
1150205,AQUA PA WILLOWDALE,Chester,Private Investor Owned,Surface water purchased,1300,6,2.497162316,12.3723042,1.778282255,4.729474082,Local government,779,Urban,2,0,2
1150206,PA AMER WATER CO HOME SYS PHOENIXVILLE DIST,Chester,Priv Investr Owned-(Pu),Surface water purchased,2221,3,2.018133957,9.125475285,1.63790582,5.235448962,Private,897,Urban,0,0,0
1150208,LAKE ROAD MHP,Chester,Mobile Home Park,Ground water,40,3,1.176470588,37.64705882,3.529411765,31.76470588,Private,10,Urban,74,0,74
1150209,WETHERILL ESTATES,Chester,Association - Co-Op,Ground water,250,3,2.222222222,13.33333333,2.222222222,4.444444444,Private,75,Rural,6,0,6
1150210,WEST VINCENT TWP ST STEPHENS G,Chester,Municipal,Ground water,130,4,3.225806452,12.90322581,3.225806452,6.451612903,Local government,34,Urban,22,0,22
1150213,NOTTINGHAM TOWERS APT,Chester,Apartments,Ground water,180,4,0,50,0,0,Private,55,Rural,33,1,34
1150214,PHILLIPS MUSHROOM FARMS,Chester,Apartments,Ground water,175,6,2.173913043,21.73913043,2.173913043,17.39130435,Private,6,Urban,95,0,95
1150215,RIDGLEA,Chester,Private Investor Owned,Ground water,900,4,4.613841525,4.413239719,2.306920762,1.404212638,Private,303,Urban,50,0,50
1150216,SPRING RUN ESTATES,Chester,Apartments,Ground water,450,5,4.173354735,9.791332263,3.370786517,1.926163724,Private,238,Urban,9,0,9
1150220,NORTH COVENTRY WATER SYSTEM,Chester,Municipal - (Purchases),Surface water purchased,2907,2,2.1482485,9.328430424,2.303077221,1.896651829,Local government,752,Urban,3,0,3
1150224,DOE RUN MHP,Chester,Mobile Home Park,Ground water,29,3,0,19.04761905,9.523809524,4.761904762,Private,16,Rural,59,0,59
1150834,WESTTOWN SCHOOL,Chester,Institutional Education,Surface water purchased,900,8,1.351351351,10.13513514,2.702702703,4.054054054,Private,28,Urban,45,2,47
1230004,CHESTER WATER AUTH,Delaware,Authority,Surface water,138453,4,5.138948465,35.66241804,25.10264109,6.460261045,Local government,36677,Urban,0,0,0
1230006,BRINTON MANOR,Delaware,Private Investor Owned,Ground water,196,5,0,20.83333333,12.5,4.166666667,Private,1,Urban,7,3,10
1230012,SUEZ WATER PA BETHEL,Delaware,Priv Investr Owned-(Pu),Surface water purchased,7809,6,1.824324324,12.17567568,3.121621622,0.635135135,Private,2408,Urban,1,0,1
1230026,SOUTHPOINT HOMEOWNERS ASSN,Delaware,Association - Co-Op,Ground water,40,5,0,22.22222222,0,0,Private,21,Rural,0,0,0
1230908,JOSEPH SILVESTRI AND SON INC,Delaware,Private Investor Owned,Ground water,85,5,1.307189542,13.07189542,2.614379085,0.653594771,Private,3,Urban,66,2,68
1460005,WINDHAVEN MOBILE HOME ESTATES,Montgomery,Mobile Home Park,Ground water,112,7,4.379562044,8.759124088,3.649635037,2.189781022,Private,79,Urban,101,0,101
1460006,PLEASANT RUN MHP,Montgomery,Mobile Home Park,Ground water,45,3,0,4,0,0,Private,19,Rural,44,0,44
1460007,AQUA PA SUPERIOR IVY RIDGE,Montgomery,Private Investor Owned,Ground water,150,4,1.612903226,4.838709677,1.612903226,1.612903226,Private,45,Urban,39,0,39
1460008,PARKHOUSE PROVIDENCE POINTE,Montgomery,Institutional Health,Ground water,1200,9,1.851851852,9.259259259,1.851851852,0,Public/Private,7,Urban,27,0,27
1460020,AMBLER BORO WATER DEPT,Montgomery,Municipal,Surface water,20000,33,3.62058014,23.29733926,11.66631378,4.799209542,Local government,6609,Urban,33,0,33
1460022,COLLEGEVILLE TRAPPE JT PUBLIC,Montgomery,Municipal,Ground water,8470,30,3.520966272,19.53053783,6.027803099,4.728805834,Local government,2807,Urban,4,1,5
1460023,EAST GREENVILLE BORO WATER DEPT,Montgomery,Municipal,Surface water,3100,8,2.573408116,7.75321676,1.583635764,3.728142527,Local government,1068,Urban,7,0,7
1460027,GREEN HILL MHP,Montgomery,Mobile Home Park,Ground water,323,5,1.801801802,1.801801802,0,1.351351351,Private,152,Urban,4,0,4
1460028,AQUA PA HATBORO,Montgomery,Private Investor Owned,Surface water purchased,12901,31,3.543726236,15.7338403,3.931558935,7.079847909,Private,4406,Urban,2,0,2
1460030,OAK GROVE PARK MHP,Montgomery,Mobile Home Park,Ground water,130,6,3.370786517,38.20224719,4.494382022,10.11235955,Private,130,Urban,1,0,1
1460033,HORSHAM W AND S AUTH,Montgomery,Authority,Surface water purchased,25000,53,2.464235508,15.00868271,3.820391962,2.059042421,Local government,7600,Urban,0,0,0
1460034,NORTH PENN WATER AUTH,Montgomery,Authority,Surface water purchased,82822,151,3.134219539,19.2682017,4.519481841,4.273627454,Local government,29779,Urban,0,0,0
1460036,UPPER HANOVER AUTH,Montgomery,Authority,Ground water,4600,18,3.465511496,5.081639454,1.099633456,2.582472509,Local government,2131,Rural,17,3,20
1460037,POTTSTOWN WATER AUTH,Montgomery,Auth Leases Back To Mun,Surface water,36000,3,7.001249079,26.46766807,14.30676104,7.052493354,Local government,12000,Urban,3,0,3
1460038,SHANERS MHP,Montgomery,Mobile Home Park,Ground water,220,5,4.195804196,9.090909091,4.195804196,2.097902098,Private,120,Urban,4,0,4
1460039,RED HILL WATER AUTH,Montgomery,Authority,Ground water,2500,13,3.918076581,6.455921638,1.202137133,2.715939448,Local government,1300,Urban,16,3,19
1460042,SCHWENKSVILLE BORO WATER DEPT,Montgomery,Authority,Ground water,5200,19,4.258443465,8.370044053,1.101321586,5.849241312,Local government,1780,Urban,25,1,26
1460046,PA AMER WATER CO NORRISTOWN DIST,Montgomery,Private Investor Owned,Surface water,101153,9,4.857508153,36.77920249,17.00544767,10.23013638,Private,31670,Urban,0,0,0
1460048,NORTH WALES WATER AUTH,Montgomery,Authority,Surface water,72496,58,3.43710709,21.3401301,4.124528508,2.462690647,Local government,21419,Urban,4,0,4
1460050,TELFORD BORO AUTH,Montgomery,Authority,Surface water purchased,7700,27,3.028629292,16.34907484,4.796096842,5.587775016,Local government,2979,Urban,0,0,0
1460055,AUDUBON WATER CO,Montgomery,Private Investor Owned,Surface water purchased,9850,45,3.311636405,28.32020098,5.527006966,1.667237638,Private,2759,Urban,39,2,41
1460056,ST GABRIELS HALL,Montgomery,Institutional Education,Ground water,400,4,3.333333333,40,6.666666667,3.333333333,Public/Private,4,Urban,12,0,12
1460059,GRATERFORD STATE CORR INST,Montgomery,Institutional Correctional,Surface water purchased,3000,23,98.68680236,71.60210112,57.41956664,12.08141825,State government,13,Urban,7,0,7
1460062,AVANTE APTS,Montgomery,Apartments,Ground water,315,4,2.222222222,4.444444444,2.222222222,0,Private,105,Urban,38,0,38
